Timestamp,DeviceName,FileName,ProcessCommandLine,InitiatingProcessFileName
"May 26, 2026 7:36:56 PM",win-faomjmk7se9.lab.local,reg.exe,"""reg.exe"" add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Updater /t REG_SZ /d C:\temp\updater.exe",powershell.exe
"May 26, 2026 7:36:56 PM",win-faomjmk7se9.lab.local,net.exe,"""net.exe"" group ""Domain Admins"" /domain",powershell.exe
"May 26, 2026 7:36:56 PM",win-faomjmk7se9.lab.local,powershell.exe,"""powershell.exe"" -ExecutionPolicy Bypass -enc UwB0AGEAcgB0AC0AUAByAG8AYwBlAHMAcwAgAGMAYQBsAGMALgBlAHgAZQA=",powershell.exe
"May 26, 2026 7:27:49 PM",win-faomjmk7se9.lab.local,powershell.exe,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8099.15672628.0.15672628-76d83c6d573b7ccbb54aed80a9092413eac2ec38\3fa4876e-3ae5-4c59-9a4d-08a7400268a5.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8099.15672628.0.15672628-76d83c6d573b7ccbb54aed80a9092413eac2ec38\3fa4876e-3ae5-4c59-9a4d-08a7400268a5.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq 'dce400addd8c396b96582604d1a55a3d9d45d66d4e89a8ebc05e0ec95054352a')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8099.15672628.0.15672628-76d83c6d573b7ccbb54aed80a9092413eac2ec38\3fa4876e-3ae5-4c59-9a4d-08a7400268a5.ps1' }""",senseir.exe
